	Corr Balanced Accu	Precision	Corr Recall	Corr F1-score
I7224	0.558	0.55	0.457	0.499
I1581	0.478	0.462	0.29	0.356
I4233	0.658	0.608	0.595	0.601
I4562	0.547	0.512	0.453	0.481
I5109	0.574	0.552	0.485	0.516
I5698	0.67	0.644	0.595	0.619
I2170	0.666	0.62	0.595	0.607
I6730	0.692	0.64	0.634	0.637
I7491	0.724	0.665	0.694	0.679
I0231	0.57	0.519	0.462	0.489
