	Corr Balanced Accu	Precision	Corr Recall	Corr F1-score
I7224	0.429	0.3	0.115	0.166
I1581	0.367	0.182	0.077	0.108
I4233	0.542	0.667	0.231	0.343
I4562	0.454	0.364	0.154	0.216
I5109	0.506	0.667	0.231	0.343
I5698	0.482	0.375	0.115	0.176
I2170	0.514	0.357	0.192	0.25
I6730	0.587	0.571	0.308	0.4
I7491	0.617	0.529	0.346	0.418
I0231	0.446	0.167	0.115	0.136
