	Corr Balanced Acc	Precision	Corr Recall	Corr F1-score
I7224	0.444	0.039	0.346	0.07
I1581	0.372	0.034	0.269	0.06
I4233	0.585	0.051	0.577	0.094
I4562	0.408	0.03	0.269	0.054
I5109	0.418	0.03	0.269	0.054
I5698	0.604	0.055	0.615	0.101
I2170	0.626	0.062	0.654	0.113
I6730	0.619	0.053	0.654	0.098
I7491	0.601	0.047	0.615	0.087
I0231	0.405	0.025	0.308	0.046
