	Corr Balanced Acc	Precision	Corr Recall	Corr F1-score
I7224	0.569	0.563	0.506	0.533
I1581	0.481	0.474	0.317	0.38
I4233	0.657	0.587	0.662	0.622
I4562	0.554	0.522	0.497	0.509
I5109	0.595	0.576	0.543	0.559
I5698	0.668	0.622	0.646	0.634
I2170	0.637	0.57	0.621	0.594
I6730	0.669	0.596	0.671	0.631
I7491	0.704	0.626	0.738	0.677
I0231	0.549	0.488	0.533	0.51
